,行业,代码,名称,总市值(亿),流通市值(亿),市盈率-动态,市净率,收盘价,29日主力净流入-总净额(亿),29日涨跌幅(%),60日涨跌幅(%),年初至今涨跌幅(%)
0,电子元件,301132,满坤科技,56.0,17.0,49.83,3.23,36.12,-2.6,30.5,54.54,40.1
1,电子元件,833914,远航精密,30.0,30.0,45.48,3.24,28.4,0.5,47.9,57.88,86.93
2,电子元件,300852,四会富仕,46.0,44.0,40.29,3.07,31.16,-0.7,5.0,20.45,24.46
3,电子元件,000823,超声电子,68.0,68.0,40.78,1.45,12.21,-1.8,13.7,30.15,25.4
4,电子元件,002815,崇达技术,132.0,78.0,28.69,1.89,11.8,-2.1,12.7,24.42,21.33
5,电子元件,301319,唯特偶,37.0,16.0,42.02,3.33,28.64,-1.1,19.6,27.2,51.58
6,电子元件,605058,澳弘电子,41.0,41.0,28.03,2.46,27.89,-0.8,14.4,33.19,49.4
7,电子元件,603328,依顿电子,103.0,103.0,22.09,2.6,10.01,-0.5,13.7,22.65,6.52
8,电子元件,603678,火炬电子,179.0,179.0,41.85,3.02,36.8,-2.2,8.2,-4.09,23.36
9,电子元件,834950,迅安科技,17.0,8.0,33.6,5.76,22.18,0.4,17.2,32.05,78.67
10,电子元件,300319,麦捷科技,98.0,93.0,39.44,2.17,11.0,-1.5,6.7,11.79,-9.54
11,电子元件,002729,好利科技,27.0,26.0,39.41,5.13,14.69,-1.0,10.8,21.88,19.15
12,电子元件,301566,达利凯普,68.0,36.0,33.24,4.98,16.86,-2.9,-5.0,11.02,4.52
13,电子元件,301328,维峰电子,48.0,15.0,47.57,2.55,43.51,-0.4,11.2,17.87,4.98
14,电子元件,870357,雅葆轩,20.0,11.0,42.37,5.85,25.25,-0.1,-0.5,16.51,39.95
15,电子元件,002782,可立克,69.0,67.0,24.6,3.45,13.72,-0.8,13.5,17.54,10.96
16,电子元件,002913,奥士康,111.0,93.0,24.78,2.59,34.73,-0.3,21.2,49.68,49.17
17,电子元件,301280,珠城科技,56.0,16.0,26.03,3.21,40.68,-0.3,9.2,-0.8,41.99
18,电子元件,832110,雷特科技,15.0,6.0,35.93,4.54,38.67,0.0,-3.2,6.21,23.03
19,电子元件,603124,江南新材,73.0,14.0,49.95,4.38,49.67,-3.2,3.1,25.41,392.53
20,电子元件,002484,江海股份,185.0,179.0,30.46,3.19,21.64,3.3,16.8,22.09,25.75
21,电子元件,430718,合肥高科,17.0,8.0,24.04,3.02,18.86,-0.2,7.0,16.31,54.73
22,电子元件,301631,壹连科技,76.0,16.0,31.42,3.24,82.6,-0.8,5.6,10.08,-11.35
23,电子元件,603989,艾华集团,65.0,65.0,22.65,1.75,16.16,-0.1,12.4,13.24,8.24
24,电子元件,836395,朗鸿科技,23.0,15.0,37.83,11.32,14.76,-0.1,0.5,0.41,42.75
25,电子元件,688800,瑞可达,102.0,102.0,33.74,4.81,49.64,0.9,12.9,33.36,29.43
26,电子元件,600237,铜峰电子,48.0,48.0,44.39,2.59,7.67,0.5,11.0,16.06,16.95
27,电子元件,300656,民德电子,47.0,37.0,35.15,4.59,27.61,-0.7,9.6,19.67,10.53
28,电子元件,002388,ST新亚,23.0,23.0,42.36,2.3,4.48,-1.3,-0.4,26.42,29.74
29,电子元件,603115,海星股份,38.0,38.0,41.53,1.97,15.9,-2.2,16.0,23.03,28.03
30,电子元件,688511,*ST天微,19.0,19.0,27.49,2.31,18.74,-0.2,12.4,61.64,19.08
31,电子元件,002922,伊戈尔,65.0,62.0,38.92,2.08,16.81,-1.1,8.7,12.07,-5.14
32,电子元件,688093,世华科技,83.0,83.0,23.88,4.15,32.13,-0.3,16.6,20.03,58.26
33,化学制药,603367,辰欣药业,107.0,107.0,18.59,1.78,21.43,0.9,50.2,77.89,74.33
34,化学制药,000153,丰原药业,35.0,34.0,23.26,1.75,6.92,-0.7,11.1,35.17,26.2
35,化学制药,002019,亿帆医药,177.0,123.0,28.91,2.07,13.9,-0.2,0.3,25.63,37.1
36,化学制药,003020,立方制药,51.0,37.0,33.59,2.99,26.15,0.4,11.7,15.52,54.05
37,化学制药,301281,科源制药,42.0,26.0,45.13,3.06,37.38,-0.6,13.2,30.09,29.52
38,化学制药,002020,京新药业,137.0,115.0,20.92,2.53,15.49,-1.1,14.6,19.14,27.27
39,化学制药,002550,千红制药,147.0,110.0,22.82,5.81,11.26,-7.8,24.0,92.62,88.82
40,化学制药,300434,金石亚药,43.0,36.0,16.92,1.71,10.41,-2.0,3.0,38.25,29.46
41,化学制药,300636,同和药业,35.0,31.0,42.44,1.53,8.27,-0.3,6.3,21.56,5.93
42,化学制药,832566,梓橦宫,21.0,16.0,31.18,2.7,14.05,-0.3,6.4,25.73,59.44
43,化学制药,688566,吉贝尔,67.0,67.0,34.02,3.0,33.3,-0.0,16.6,43.16,52.66
44,化学制药,000788,北大医药,41.0,41.0,22.39,2.65,6.77,-3.3,1.3,23.16,14.91
45,化学制药,300194,福安药业,56.0,45.0,20.16,1.27,4.62,-1.1,6.9,17.29,6.12
46,化学制药,688117,圣诺生物,65.0,65.0,34.49,6.84,40.93,-3.2,32.0,97.04,126.43
47,化学制药,600789,鲁抗医药,95.0,95.0,30.13,2.43,10.46,-4.7,0.2,6.04,11.65
48,化学制药,600420,国药现代,151.0,151.0,11.22,1.1,11.16,-0.3,5.6,11.07,-4.26
49,化学制药,603351,威尔药业,41.0,41.0,27.78,2.41,29.81,0.2,13.8,1.8,24.25
50,化学制药,603456,九洲药业,154.0,154.0,15.41,1.81,17.22,-1.6,18.4,27.31,29.6
51,化学制药,000756,新华制药,119.0,85.0,26.46,2.36,17.1,-0.4,13.5,27.31,11.25
52,化学制药,600216,浙江医药,147.0,147.0,8.97,1.37,15.18,-3.9,4.5,16.31,-1.48
53,化学制药,603207,小方制药,53.0,13.0,22.17,5.0,32.88,-0.2,14.6,35.67,24.29
54,化学制药,000915,华特达因,78.0,77.0,10.63,2.95,32.95,2.6,13.7,16.11,26.36
55,化学制药,300702,天宇股份,87.0,53.0,25.27,2.44,24.94,-0.7,5.9,16.96,50.69
56,化学制药,301277,新天地,58.0,15.0,25.75,3.92,14.81,-2.3,-0.9,25.83,54.95
57,化学制药,301507,民生健康,55.0,17.0,21.76,3.47,15.26,-0.9,8.7,16.69,21.6
58,化学制药,430478,峆一药业,17.0,10.0,22.53,3.6,21.95,-0.3,1.5,18.9,88.37
59,化学制药,002437,誉衡药业,77.0,72.0,31.87,3.97,3.41,2.3,14.4,37.9,37.35
60,化学制药,001367,海森药业,38.0,10.0,30.17,2.76,24.72,-0.3,11.1,27.19,35.54
61,化学制药,600488,津药药业,49.0,49.0,21.16,1.63,4.49,-0.4,5.6,14.8,8.7
62,化学制药,603229,奥翔药业,79.0,79.0,16.65,3.47,9.54,-1.3,7.7,23.99,-3.34
63,化学制药,605116,奥锐特,95.0,93.0,19.99,4.14,23.51,-0.1,11.3,13.74,12.87
64,化学制药,300573,兴齐眼药,149.0,115.0,25.61,9.53,60.95,-1.1,18.2,5.04,23.98
65,化学制药,002393,力生制药,61.0,59.0,27.62,1.3,23.74,-3.2,12.1,46.48,37.07
66,化学制药,601089,福元医药,100.0,100.0,19.07,2.9,20.8,0.5,22.0,39.7,33.85
67,化学制药,603811,诚意药业,39.0,39.0,21.25,3.19,11.92,-0.4,30.1,43.43,58.96
68,化学制药,600664,哈药股份,100.0,100.0,11.71,1.79,3.97,-1.2,4.7,8.49,-4.12
69,化学制药,600267,海正药业,141.0,141.0,18.19,1.7,11.82,-1.6,25.5,35.83,45.56
70,化学制药,301258,富士莱,32.0,12.0,32.93,1.66,34.49,-0.7,14.2,24.38,46.15
71,化学制药,300705,九典制药,87.0,64.0,17.29,3.52,17.44,-2.1,7.9,10.27,-1.42
72,化学制药,605507,国邦医药,119.0,65.0,13.89,1.51,21.45,-0.9,7.0,15.82,5.68
73,化学制药,688799,华纳药厂,70.0,70.0,42.71,3.92,53.8,1.4,19.7,70.44,81.82
74,化学制药,000739,普洛药业,185.0,185.0,18.61,2.81,16.05,-0.2,13.1,20.26,0.38
75,化学制药,603676,卫信康,56.0,56.0,16.5,4.01,12.9,0.2,21.5,25.56,31.22
76,化学制药,002332,仙琚制药,104.0,104.0,18.14,1.82,10.64,1.0,15.5,21.8,9.54
77,化学制药,002399,海普瑞,196.0,167.0,31.27,1.64,13.46,-0.0,12.1,25.59,27.87
78,化学制药,300452,山河药辅,33.0,26.0,17.29,3.85,14.04,-1.0,15.6,20.62,17.87
79,化学制药,002102,能特科技,111.0,98.0,12.83,3.27,4.25,1.4,34.9,45.17,60.69
